,g1,g2,g3,g4
1,0.0,0.2727272727272727,0.5,1.0
2,0.0,0.2727272727272727,1.0,0.0
3,0.08108108108108109,0.2727272727272727,0.375,0.0
4,0.06756756756756757,0.09090909090909091,0.125,0.125
5,0.04054054054054054,0.36363636363636365,0.0,0.25
6,0.06756756756756757,0.18181818181818182,0.0,0.0
7,0.0,1.0,0.0,0.0
8,0.04054054054054054,0.09090909090909091,0.0,0.0
9,0.06756756756756757,0.09090909090909091,0.0,0.0
10,0.05405405405405406,0.18181818181818182,0.0,0.25
11,0.08108108108108109,0.0,0.0,0.0
12,0.05405405405405406,0.18181818181818182,0.0,0.0
13,0.06756756756756757,0.09090909090909091,0.0,0.0
14,0.06756756756756757,0.09090909090909091,0.0,0.0
15,0.05405405405405406,0.0,0.0,0.0
16,0.06756756756756757,0.0,0.0,0.0
17,0.05405405405405406,0.0,0.0,0.125
18,0.04054054054054054,0.18181818181818182,0.0,0.0
19,0.04054054054054054,0.0,0.0,0.0
20,0.05405405405405406,0.0,0.0,0.0
21,0.08108108108108109,0.09090909090909091,0.0,0.0
22,0.06756756756756757,0.0,0.0,0.0
23,0.06756756756756757,0.0,0.0,0.0
24,0.08108108108108109,0.09090909090909091,0.0,0.375
25,0.05405405405405406,0.09090909090909091,0.125,0.0
26,0.06756756756756757,0.09090909090909091,0.0,0.0
wg,1.4189189189189189,3.727272727272727,2.125,2.125
group,G4,G1,G2,G2
